,Models,Model,Accuracy
0,Tree,Model 1,0.6435643564356436
1,Logistic Regression,Model 1,0.7425742574257426
2,Random Forest,Model 1,0.7425742574257426
3,Boosted Tree,Model 1,0.7326732673267327
4,SVM,Model 1,0.7227722772277227
5,Neural Network,Model 1,0.693069306930693
6,KNNeighbors,Model 1,0.7425742574257426
7,Tree,Model 2,0.693069306930693
8,Logistic Regression,Model 2,0.7029702970297029
9,Random Forest,Model 2,0.693069306930693
10,Boosted Tree,Model 2,0.7623762376237624
11,SVM,Model 2,0.6732673267326733
12,Neural Network,Model 2,0.6831683168316832
13,KNNeighbors,Model 2,0.6831683168316832
